भ्रमण	O	O	O
वर्ष	O	O	O
मनाइरहँदा	O	O	O
नेपाल	LOC	LOC	LOC
आउने	O	O	O
पर्यटक	O	O	O
ले	O	O	O
पटक	O	O	O
–	O	O	O
वातावरण	O	O	O
कसरी	O	O	O
बनाउने	O	O	O
भन्ने	O	O	O
सन्दर्भ	O	O	O
मा	O	O	O
काम	O	O	O
गर्नु	O	O	O
आवश्यक	O	O	O
छ	O	O	O
।	O	O	O

किन	O	O	O
की	O	O	O
नेपाल	LOC	LOC	LOC
को	O	O	O
समृद्धि	O	O	O
आधार	O	O	O
नै	O	O	O
पर्यटन	O	O	O
उद्योग	O	O	O
हो	O	O	O
।	O	O	O

सडक	O	O	O
यातायात	O	O	O
का	O	O	O
कारण	O	O	O
परम्परागत	O	O	O
पदयात्रा	O	O	O
मार्ग	O	O	O
लोप	O	O	O
हुने	O	O	O
अवस्था	O	O	O
मा	O	O	O
पुगे	O	O	O
छन्	O	O	O
।	O	O	O

एससीटी	ORG	ORG	ORG
ले	O	O	O
युनियन	ORG	ORG	ORG
पे	ORG	ORG	ORG
इन्टरनेशन	ORG	ORG	ORG
सँग	O	O	O
सहकार्य	O	O	O
सुरु	O	O	O
गरि	O	O	O
अत्याधुनिक	O	O	O
‘	O	O	O
कन्ट्याक्ट	O	O	O
लेस	O	O	O
’	O	O	O
कार्ड	O	O	O
को	O	O	O
लञ्चिङ	O	O	O
गरे	O	O	O
छ	O	O	O
।	O	O	O

एससीटी	ORG	ORG	ORG
का	O	O	O
अध्यक्ष	O	O	O
देबिप्रकाश	PER	PER	PER
भट्टचन	PER	PER	PER
ले	O	O	O
नेपाली	O	O	O
कार्ड	O	O	O
र	O	O	O
अत्याधुनिक	O	O	O
सुमेत	O	O	O
भएका	O	O	O
प्रयोगकर्ता	O	O	O
लाई	O	O	O
यो	O	O	O
प्रयोग	O	O	O
गर्न	O	O	O
आग्रह	O	O	O
गरे	O	O	O
।	O	O	O

यस	O	O	O
मा	O	O	O
प्रभु	ORG	ORG	ORG
ग्रुप	ORG	ORG	ORG
का	O	O	O
साथै	O	O	O
आइएमइ	ORG	ORG	ORG
समुह	ORG	ORG	ORG
र	O	O	O
हिमालयन	ORG	ORG	ORG
बैंक	ORG	ORG	ORG
ले	O	O	O
समेत	O	O	O
लगानी	O	O	O
गरे	O	O	O
छन्	O	O	O
।	O	O	O

यस	O	O	O
का	O	O	O
लागि	O	O	O
मुख्य	O	O	O
कोर	O	O	O
नेटवर्क	O	O	O
काठमाडौं	O	LOC	LOC
र	O	O	O
बुटवल	O	LOC	LOC
मा	O	O	O
रहने	O	O	O
छ	O	O	O
।	O	O	O

नेपाल	ORG	ORG	ORG
टेलिकम	ORG	ORG	ORG
ले	O	O	O
मुलुक	O	O	O
मै	O	O	O
पहिलो	O	O	O
पटक	O	O	O
मिति	O	O	O
०७३	O	O	O
पौष	O	O	O
१७	O	O	O
गते	O	O	O
काठमाडौं	LOC	LOC	LOC
उपत्यका	O	O	LOC
र	O	O	O
पोखरा	LOC	LOC	LOC
मा	O	O	O
फोरजी	O	O	O
सेवा	O	O	O
सञ्चालन	O	O	O
गरे	O	O	O
को	O	O	O
थियो	O	O	O
।	O	O	O

नेपाल	LOC	LOC	LOC
वचत	ORG	ORG	ORG
तथा	ORG	ORG	ORG
ऋण	ORG	ORG	ORG
सहकारी	ORG	ORG	ORG
संघ	ORG	ORG	ORG
(	O	O	O
नेफ्स्कून	ORG	ORG	ORG
)	O	O	O
को	O	O	O
अगुवाई	O	O	O
मा	O	O	O
२०६५	O	O	O
साल	O	O	O
देखि	O	O	O
एशियाली	O	O	O
स्तर	O	O	O
गुणस्तर	O	O	O
सुनिश्चितता	O	O	O
कार्यक्रम	O	O	O
एवन	O	O	ORG
कम्पेटिटिभ	O	O	ORG
च्वाइस	O	O	ORG
फर	O	O	ORG
एक्सेलेन्स	O	O	ORG
सर्भिस	O	O	ORG
एण्ड	O	O	ORG
साउन्डनेस	O	O	ORG
–	O	O	O
एक्सेस	O	O	ORG
सुरुवात	O	O	O
भए	O	O	O
हो	O	O	O
।	O	O	O

अर्थमन्त्रालय	O	ORG	ORG
ले	O	O	O
२०७५	O	O	O
वैशाख	O	O	O
२३	O	O	O
गते	O	O	O
२४३	O	O	O
वटा	O	O	O
यातायात	O	O	O
समिति	O	O	O
हरुको	O	O	O
बैंक	O	ORG	ORG
खाता	O	O	O
रोक्का	O	O	O
गर्न	O	O	O
राष्ट्र	O	ORG	ORG
लाई	O	O	O
पत्राचार	O	O	O
गरे	O	O	O
को	O	O	O
थियो	O	O	O
।	O	O	O

कैलाली	LOC	LOC	LOC
जिल्ला	LOC	O	O
की	O	O	O
निर्मला	PER	PER	PER
सोडारी	PER	PER	PER
विरुद्ध	O	O	O
हाले	O	O	O
को	O	O	O
रिट	O	O	O
मा	O	O	O
सर्वोच्च	O	ORG	ORG
ले	O	O	O
चेक	O	O	O
बाउन्स	O	O	O
बैंकिङ	O	O	O
कसुरअन्तर्गत	O	O	O
मुद्दा	O	O	O
नचल्ने	O	O	O
फैसला	O	O	O
सुनायो	O	O	O
।	O	O	O

अध्यक्ष	O	O	O
चापागाईं	PER	ORG	PER
ले	O	O	O
भने	O	O	O
जस्तै	O	O	O
बीमा	ORG	O	O
कम्पनी	ORG	O	O
हरुले	O	O	O
हकप्रद	O	O	O
र	O	O	O
बोनश	O	O	O
सेयर	O	O	O
वितरण	O	O	O
गर्न	O	O	O
शुरु	O	O	O
गरि	O	O	O
सकेका	O	O	O
छन्	O	O	O
।	O	O	O

हिन्दु	O	O	O
धर्म	O	O	O
मा	O	O	O
दान	O	O	O
दक्षिणा	O	O	O
गर्दा	O	O	O
धेरै	O	O	O
